k_vals,m_vals
2.7318463347364097e-05,77998.7
2.8992310258041375e-05,13267.2
8.247431889281602e-06,-74970.9
-6.863390443077257e-06,-111501.3
7.596985572225758e-06,-40397.3
7.349536777918753e-06,-104003.3
